1,2020-08-08 12:07:08,rob@bcit.ca,Sarah,S,Unable to logon to D2L,2,Closed
2,2020-08-12 18:09:19,bill@gates.ms,,,I have a monkey on my back,,Deleted
3,2020-09-22 08:11:59,sarah@lightsabre.net,Sam,H,"Computer will not boot, power up, or turn on",1,Resolved
4,2020-09-22 10:15:39,adele@my.place.uk,Susan,S,Cannot save desktop after streaming,3,Closed
5,2020-09-30 14:53:48,reza@stock.com,Sarah,H,Macbook Pro won't run Windows 10,3,Assigned
6,2020-10-11 11:55:18,as-c.o_s@sd.sa,Sam,S,Can't close window,4,Assigned
7,2020-10-23 17:31:36,bobby.flay@cookin.for.us,,,"A monster security flaw,",,Pending
8,2020-11-01 10:41:51,post.malone@rockstar.com,Susan,H,Drum synth app hangs like a towel,2,Assigned
9,2020-11-11 09:43:59,tribe@quest.biz,,,Chatter app keeps repeating,,Pending
10,2020-11-21 15:44:36,rob@bcit.ca,,,Final exam security compromised,,Pending
11, 2021-04-22 22:41:26.625300, zhe@gmail.com, , ,broken screen., , Pending
12,2021-04-22 22:42:40.156587,yuki@qq.com,,,born baby.,,Pending
13,2021-04-22 22:43:19.547208,jery@asd.com,,,fashjkdjaksldjlas,,Pending
14,2021-04-22 22:44:03.638254,asdas@qq.com,,,asdafasdasdas,,Pending
15,2021-04-22 22:46:07.101960,zhangzhe@qq.com,,,zhangzheeee,,Pending
16,2021-04-22 22:46:41.838033,zhang@qq.com,,,123dqsdasfg,,Pending
17,2021-04-22 22:47:00.597846,asdasd,,,afsdasfasfga,,Pending
18,2021-04-22 22:48:13.810984,asdasfa,,,asdasfgsfaads,,Pending
19,2021-04-22 22:48:32.518936,asdas,,,asfasdasda,,Pending
20,2021-04-22 22:48:59.763052,zhangzhe@qq.com,,,you are pityful,,Pending
21,2021-04-22 22:50:53.812942,asdasd,,,asdfasdasfas,,Pending
